text,language,label,text_norm
я на дорогу и на еду потратил 25 к,ru,,я на дорогу и на еду потратил 25 к
А чё делать если нету,ru,,а чё делать если нету
ты забыл упомянуть что у тя должен быть опыть работы в амазон и эпл,ru,,ты забыл упомянуть что у тя должен быть опыть работы в амазон и эпл
подписка на ии не настоящая цена стоит еще)),ru,,подписка на ии не настоящая цена стоит еще
я все слова записал в тетрадку и зачитал рэп,ru,,я все слова записал в тетрадку и зачитал рэп
Пиццы в этот раз меньше было,ru,,пиццы в этот раз меньше было
Давай санжар не уворачиваться сделай один раз пж закрепи статус легенды,ru,,давай санжар не уворачиваться сделай один раз пж закрепи статус легенды
вы даже не верите в побежу,ru,,вы даже не верите в побежу
По документам командой а так соло ,ru,,по документам командой а так соло
Еске алып сол бір шақтарды,kz,,еске алып сол бір шақтарды
Дай мне репо поможешь со сном других людей,ru,,дай мне репо поможешь со сном других людей
Барлығы бір дедлайн бойынша жұмыс істейді,kz,,барлығы бір дедлайн бойынша жұмыс істейді
но даже так шлюз/гейтвей через тор всё фильтрует,ru,,но даже так шлюз гейтвей через тор всё фильтрует
"Десентратон 5.0 
Обший 3 орыннан басқада призге заттар берема",kz,,десентратон 5.0 обший 3 орыннан басқада призге заттар берема
"можно не говорить, структуры нет",ru,,"можно не говорить, структуры нет"
я как девушка с романтики которая в горд с деревни пришла,ru,,я как девушка с романтики которая в горд с деревни пришла
"начинаем воркать ребят, нельзя терять не минуты больше",ru,,"начинаем воркать ребят, нельзя терять не минуты больше"
Алем ии ды сен жеп коятын сияктысын брат,kz,,алем ии ды сен жеп коятын сияктысын брат
Список жазып қойса забанены деп ,mixed,,список жазып қойса забанены деп
Да я пошутил в серых зонах больше зеленого,ru,,да я пошутил в серых зонах больше зеленого
на таких данных ничего нормально не обучишь,ru,,на таких данных ничего нормально не обучишь
локальную с huggingface взял и пятачком подключать через ollama,ru,,локальную с huggingface взял и пятачком подключать через ollama
(я участвовал только в одном),ru,,я участвовал только в одном
Ну какие времена такие и герои,ru,,ну какие времена такие и герои
попробую в одном видео уместить пояснение сразу на трех языках,ru,,попробую в одном видео уместить пояснение сразу на трех языках
За участие же сертификат не дают?,ru,,за участие же сертификат не дают?
Вы знали что первый вайб кодер это тони старк?,ru,,вы знали что первый вайб кодер это тони старк?
что-то недоступное и неосязаемое в нашей жизни,ru,,что-то недоступное и неосязаемое в нашей жизни
Я записался все таки ;),ru,,я записался все таки
Нас с библиотеки не выгоняют,ru,,нас с библиотеки не выгоняют
а как понять на какой поток мы зарегистрировались? мы просто долго решали и уже не помним что в итоге выбрали. письмо никакое не приходило,ru,,а как понять на какой поток мы зарегистрировались? мы просто долго решали и уже не помним что в итоге выбрали. письмо никакое не приходило
"Наша команда решила начать челендж написать весь код для хакатона с помощью руля! 

Поддерживаем Indriver и всех  гонщиков которые тоже используют руль! 
@QazInnovationSolution",ru,,наша команда решила начать челендж написать весь код для хакатона с помощью руля! поддерживаем indriver и всех гонщиков которые тоже используют руль! USER
его будут давать по мере как ты будешь делать кейсы,ru,,его будут давать по мере как ты будешь делать кейсы
Дым бола аламайды студенттерді алып алған ба тек,kz,,дым бола аламайды студенттерді алып алған ба тек
скажи всем что бы налево шли до конца,ru,,скажи всем что бы налево шли до конца
Мне после заполнения формы на аи трек пришло письмо об успешном заполнении,ru,,мне после заполнения формы на аи трек пришло письмо об успешном заполнении
Но желательно прийти говорили кто сможет,ru,,но желательно прийти говорили кто сможет
Хакатон но по бизнес кейсам. 180 минут дают,ru,,хакатон но по бизнес кейсам. 180 минут дают
6000 тыркелушы бар жогы 6000 тыркелушы,kz,,6000 тыркелушы бар жогы 6000 тыркелушы
"Хакатон не привязан к одному горду, читай республиканский",ru,,"хакатон не привязан к одному горду, читай республиканский"
"я не знаю, он скрывается от выплатов алиментов",ru,,"я не знаю, он скрывается от выплатов алиментов"
и свой город добавь и стек,ru,,и свой город добавь и стек
Тут в картинке больше смысла,ru,,тут в картинке больше смысла
100-110 хватает на большинство специальностей,ru,,100-110 хватает на большинство специальностей
"Если астана хаб то только в рабочие дни с понедельника по пятницу  

Если не открыли то можно им на уатсап написать, ответят в рабочее время",ru,,"если астана хаб то только в рабочие дни с понедельника по пятницу если не открыли то можно им на уатсап написать, ответят в рабочее время"
батыс түрік қағанаты құрылған жылы Алмас деген батырдың жылқысының есімі,kz,,батыс түрік қағанаты құрылған жылы алмас деген батырдың жылқысының есімі
напиши в лс свою почту и название команды,ru,,напиши в лс свою почту и название команды
Господи в след году тоже в конце ноябре ехать,ru,,господи в след году тоже в конце ноябре ехать
В такие вещи надо просто верить,ru,,в такие вещи надо просто верить
Это ладно скажите одно где сертификаты,ru,,это ладно скажите одно где сертификаты
Да там косяки с wine были,ru,,да там косяки с wine были
"решение задач через алгоритмы, туча работы с данными",ru,,"решение задач через алгоритмы, туча работы с данными"
"вроде достаточно мерча, незнаю что не хватает. Думаю больше кейсов на выбор и призовых было бы лучше",ru,,"вроде достаточно мерча, незнаю что не хватает. думаю больше кейсов на выбор и призовых было бы лучше"
если щас милан выбивает джекпот то 7 минут,ru,,если щас милан выбивает джекпот то 7 минут
29.59 ға децін болып қалармыз,kz,,29.59 ға децін болып қалармыз
В перчатках ток если болячки на руках,ru,,в перчатках ток если болячки на руках
Я сделал кружочек справа снизу с лицом,ru,,я сделал кружочек справа снизу с лицом
"Ребят, а в коде просто оставить место для ввода апи, и они сами свой апи ставят? Просто особо не щарю",ru,,"ребят, а в коде просто оставить место для ввода апи, и они сами свой апи ставят? просто особо не щарю"
"осталось 2 часа, я только написал парочку смарт контрактов. остался фронт....",ru,,"осталось 2 часа, я только написал парочку смарт контрактов. остался фронт...."
Сам знаеш можно на 3 языках,ru,,сам знаеш можно на 3 языках
Соляна еще идет в айту?,ru,,соляна еще идет в айту?
ребята мерч берды ма? если дали плс скиньте,mixed,,ребята мерч берды ма? если дали плс скиньте
Имеет ли смысл прийти на солану с опозданием? Типо 4-5 часов после регистрации? Или не впустят?,ru,,имеет ли смысл прийти на солану с опозданием? типо 4-5 часов после регистрации? или не впустят?
в этот раз без участия одной устькаманкой команды,ru,,в этот раз без участия одной устькаманкой команды
Почему имя 3 **сокомандника продублировалась моим именем? У всех так?**,ru,,почему имя 3 сокомандника продублировалась моим именем? у всех так?
Описание перед хакатоном это тизер) на самом Хакатоне будут полные задачи,ru,,описание перед хакатоном это тизер на самом хакатоне будут полные задачи
Кароч родя айтады қай жерде не жасау керек екенің,kz,,кароч родя айтады қай жерде не жасау керек екенің
"Так и пришла, так и закончила универ",ru,,"так и пришла, так и закончила универ"
Астана Магистрант 107к в месяц,ru,,астана магистрант 107к в месяц
"Всем привет, кто знает аккаунт в Linkedln Decentra?",ru,,"всем привет, кто знает аккаунт в linkedln decentra?"
"Если в коллективе есть хотя бы один воздухан, можно не волноваться",ru,,"если в коллективе есть хотя бы один воздухан, можно не волноваться"
"Дело вообще не в возрасте, можно всё и до и после 18.",ru,,"дело вообще не в возрасте, можно всё и до и после 18."
Ты дружок бы вообще сегодня ничего не писал. Твои сообщения особенно долго чистил… В бан пойдешь ,ru,,ты дружок бы вообще сегодня ничего не писал. твои сообщения особенно долго чистил в бан пойдешь
Где мой сертификат за участие,ru,,где мой сертификат за участие
Если учитывать насколько глубокие знания нужны для такого масштаба разработки вы минимум senior,ru,,если учитывать насколько глубокие знания нужны для такого масштаба разработки вы минимум senior
спонсоров нашли которые буквально месяц назад делали нормальный геймджем по всем правилам,ru,,спонсоров нашли которые буквально месяц назад делали нормальный геймджем по всем правилам
"Все кароче. Хакатона не будет, Санжар все деньги сейчас скинет мне и я уехжаю из страны",ru,,"все кароче. хакатона не будет, санжар все деньги сейчас скинет мне и я уехжаю из страны"
Можно узнать на счет смены трека?,ru,,можно узнать на счет смены трека?
щас один стартап залетел тоже мини апп делают,ru,,щас один стартап залетел тоже мини апп делают
"Согласен, чисто как помощь испольховать",ru,,"согласен, чисто как помощь испольховать"
Короче в целом может быть хуже время покажет,ru,,короче в целом может быть хуже время покажет
"Если есть то много нельзя
Иначе поломаешь колени позвоночник и т д",ru,,если есть то много нельзя иначе поломаешь колени позвоночник и т д
"В общем возможно ещё не все потеряно, попробуй отыграться",ru,,"в общем возможно ещё не все потеряно, попробуй отыграться"
как приедет в след раз,ru,,как приедет в след раз
Стоимость обучения в Гарварде 83к долларов,ru,,стоимость обучения в гарварде 83к долларов
быть им и работать на бэйтс,ru,,быть им и работать на бэйтс
джиги у кого нибудь есть Яндекс станция? для чего прикольного его вообще можно заюзать кроме музыки,ru,,джиги у кого нибудь есть яндекс станция? для чего прикольного его вообще можно заюзать кроме музыки
ох наконец то крутое общение пошло в чате ,ru,,ох наконец то крутое общение пошло в чате
"Интернет герои сколько человек в вашей команде ?
Такой фронт вряд-ли успеешь сделать за 2 дня",ru,,интернет герои сколько человек в вашей команде ? такой фронт вряд-ли успеешь сделать за 2 дня
"Я чет не припомню
Т к тоже хотел на пайтоне писать, а там оказывается нельзя вроде
Хз не помню",ru,,"я чет не припомню т к тоже хотел на пайтоне писать, а там оказывается нельзя вроде хз не помню"
"Вот вопрос такой самое важное думаю

Мерч будет тем кто прошел? Пожалуйста…",ru,,вот вопрос такой самое важное думаю мерч будет тем кто прошел? пожалуйста
Я себе серые взял ,ru,,я себе серые взял
"ну неге сен солай айтасың, ну негее",kz,,"ну неге сен солай айтасың, ну негее"
"переводчик дурыс аудармапты,орысша сойли бериниз",kz,,"переводчик дурыс аудармапты,орысша сойли бериниз"
Порекомендовал бы лучше Назарбаев университет,ru,,порекомендовал бы лучше назарбаев университет
Везде где я работал документация говно,ru,,везде где я работал документация говно
чую модеры ругаться будут за ссылку,ru,,чую модеры ругаться будут за ссылку
от даты окончания + месяц,ru,,от даты окончания месяц
"сейм,3 рет жазылдым  ,3еуінде де ешкім болған жоқ,ai кейс",kz,,"сейм,3 рет жазылдым ,3еуінде де ешкім болған жоқ,ai кейс"
"От интереса можно все что угодно писать. Просто без иллюзий, что он реально будет где-то использоваться. И можно забросить его хоть завтра.",ru,,"от интереса можно все что угодно писать. просто без иллюзий, что он реально будет где-то использоваться. и можно забросить его хоть завтра."
"И это. Именно что графический движок, а не библиотеку",ru,,"и это. именно что графический движок, а не библиотеку"
"Можно повторно заполнить форму, если сделал ошибку?",ru,,"можно повторно заполнить форму, если сделал ошибку?"
"Бабок не дадут, денег тоже",ru,,"бабок не дадут, денег тоже"
ну не так все плохо,ru,,ну не так все плохо
Я смотрю там в 1 и во 2 задании миниаппс,ru,,я смотрю там в 1 и во 2 задании миниаппс
Насчёт реакции на действия игрока..,ru,,насчёт реакции на действия игрока..
"Есть, тот кто плохо рисуют",ru,,"есть, тот кто плохо рисуют"
"У меня тоже есть(было на старом,уже мертвом телефоне) что-то типо музыки,сочинил я его вообще без музыкальных знаний (я даже не знаю что такое ноты)",ru,,"у меня тоже есть было на старом,уже мертвом телефоне что-то типо музыки,сочинил я его вообще без музыкальных знаний я даже не знаю что такое ноты"
Я сегодня вывела денег из догс,ru,,я сегодня вывела денег из догс
Какая у тебя оценка по инфе,ru,,какая у тебя оценка по инфе
Конспектирование это тоже отчасти учеба,ru,,конспектирование это тоже отчасти учеба
еще говорят теперь раньше 4 нельзя возвращаться в общагу,ru,,еще говорят теперь раньше 4 нельзя возвращаться в общагу
"Мен 8 сынып оқығанда екі 12 сыныптың баласы осы өлеңдерді жаңа жылдық баллда орындап едіңдер, қандай тамаша! Іске сәт, ағатай!",kz,,"мен 8 сынып оқығанда екі 12 сыныптың баласы осы өлеңдерді жаңа жылдық баллда орындап едіңдер, қандай тамаша! іске сәт, ағатай!"
"вот мечта по идее, но вообще ноль скиллов",ru,,"вот мечта по идее, но вообще ноль скиллов"
білмедім өзім А алған болатынмын оқылым бөлімінде,kz,,білмедім өзім а алған болатынмын оқылым бөлімінде
"мб только 9 класс, мб и 9 и 10, уже не помню",ru,,"мб только 9 класс, мб и 9 и 10, уже не помню"
Бүгін КБО ға қатысқандар қалайсыңдар?,kz,,бүгін кбо ға қатысқандар қалайсыңдар?
"мне нужны фулл стак , фронтенд и бекенд девелоперы",ru,,"мне нужны фулл стак , фронтенд и бекенд девелоперы"
и заводчане и официанты и строители,ru,,и заводчане и официанты и строители
ниш хакатоннын жигиттеры олимпиадник па,kz,,ниш хакатоннын жигиттеры олимпиадник па
Ким старт басады сол плохой,mixed,,ким старт басады сол плохой
мен ещё билесинба кайда турам,mixed,,мен ещё билесинба кайда турам
Надеюсь тебя отпускают и без проблем доберешься,ru,,надеюсь тебя отпускают и без проблем доберешься
"Әрине оның барлығы дұрыс, бірақ тағыда бір ақпарат көзі бар шығар?",kz,,"әрине оның барлығы дұрыс, бірақ тағыда бір ақпарат көзі бар шығар?"
называют потому что это твои профильные,ru,,называют потому что это твои профильные
a level и ap exams могут быть равноценны?,ru,,a level и ap exams могут быть равноценны?
сетевой 8 сыныптарға болады ма?,kz,,сетевой 8 сыныптарға болады ма?
ребят можете подсказать как высчитать gpa,ru,,ребят можете подсказать как высчитать gpa
"Наполеон Хилл - Думай и Богатей, Богатый папа бедный папа (4 раза) , знаком с книгами Брайана Трейси",ru,,"наполеон хилл - думай и богатей, богатый папа бедный папа 4 раза , знаком с книгами брайана трейси"
Отменили якобы из за погоды во время январских,ru,,отменили якобы из за погоды во время январских
"Продаешь такие же курсы как стать миллионером и все, изи деньги",ru,,"продаешь такие же курсы как стать миллионером и все, изи деньги"
"Про холокост еще почитать можно, все таки немаловажная тема тоже",ru,,"про холокост еще почитать можно, все таки немаловажная тема тоже"
"я не знаю, я собираюсь выбрать химбио, оно мне больше по душе",ru,,"я не знаю, я собираюсь выбрать химбио, оно мне больше по душе"
киналганша с химбио лучше кутылка физинфомен,mixed,,киналганша с химбио лучше кутылка физинфомен
Кто-то уже создает это помимо тебя кст,ru,,кто-то уже создает это помимо тебя кст
"Универді әлі тандаған жоқпын, бүгін түні бойы направление қарадым",kz,,"универді әлі тандаған жоқпын, бүгін түні бойы направление қарадым"
я летом на пле и на наге играл для ммров,ru,,я летом на пле и на наге играл для ммров
"Заказ тез келді, магазин жақсы екен.",kz,,"заказ тез келді, магазин жақсы екен."
"Отличный телефон: быстрый, качественная камера, хорошо держит заряд. Удобный и надёжный, полностью оправдал ожидания.",ru,,"отличный телефон быстрый, качественная камера, хорошо держит заряд. удобный и надёжный, полностью оправдал ожидания."
"Гарышкер дүкеніне көп рақмет. Бүгін 1і ешқандай магазин істемейді екен. Сыйлыққа алып едім, бүгін жеткізіп берді. Сатушы өте сыпайы.",kz,,"гарышкер дүкеніне көп рақмет. бүгін 1і ешқандай магазин істемейді екен. сыйлыққа алып едім, бүгін жеткізіп берді. сатушы өте сыпайы."
"Телефон очень хороший, спасибо продавцам, относиться очень хорошо к покупателю.",ru,,"телефон очень хороший, спасибо продавцам, относиться очень хорошо к покупателю."
"Тапсырысымды уақытында жеткізді, ұлыма сыйлыққа алған едім, сыйлығым өте ұнады ұлыма, рақметін айтып қуанып қалды, Каспи дүкеніне көп рақмет.",kz,,"тапсырысымды уақытында жеткізді, ұлыма сыйлыққа алған едім, сыйлығым өте ұнады ұлыма, рақметін айтып қуанып қалды, каспи дүкеніне көп рақмет."
Маған қатты ұнады. Сапасы да жақсы.,kz,,маған қатты ұнады. сапасы да жақсы.
"1 күн бұрын келді, алғашкы айфоным өте керемет.",kz,,"1 күн бұрын келді, алғашкы айфоным өте керемет."
Заказали раньше срока доставили. Купили сыну очень понравилось. Спасибо Каспи.,ru,,заказали раньше срока доставили. купили сыну очень понравилось. спасибо каспи.
"Телефон жақсы, күшті курьердің жұмысы ғана ұнамады, жауапкершілігі жоқ екен.",kz,,"телефон жақсы, күшті курьердің жұмысы ғана ұнамады, жауапкершілігі жоқ екен."
"Балама алғам, қатты қуанып қалды, рахмет көп!.",kz,,"балама алғам, қатты қуанып қалды, рахмет көп!."
Доставка пришла как и обещали вовремя. Айфон запустили. Все пока работает отлично. Классный сервис.,ru,,доставка пришла как и обещали вовремя. айфон запустили. все пока работает отлично. классный сервис.
Өте жақсы уақытында келді және адаптермен.,kz,,өте жақсы уақытында келді және адаптермен.
Жақсы жұмыс істеп тұр. Еще гарантиясымен тиімді бағада алдық.,kz,,жақсы жұмыс істеп тұр. еще гарантиясымен тиімді бағада алдық.
"Хороший телефон, доставка быстрая, упакован хорошо. Спасибо продавцу!",ru,,"хороший телефон, доставка быстрая, упакован хорошо. спасибо продавцу!"
"Телефон очень хороший, взяла сыну на день рождения, он доволен, спасибо за быструю доставку.",ru,,"телефон очень хороший, взяла сыну на день рождения, он доволен, спасибо за быструю доставку."
"Вроде бы пока все нормально, но цвет не черный, а темно-синий, смутило, что упаковка заклеена странно, поверх оригинальных открывашек наклеена серебристая, но проверили вроде норм, проверили - не был активирован, позже обязательно дополню отзыв, доставили на три дня раньше обещанного срока.",ru,,"вроде бы пока все нормально, но цвет не черный, а темно-синий, смутило, что упаковка заклеена странно, поверх оригинальных открывашек наклеена серебристая, но проверили вроде норм, проверили - не был активирован, позже обязательно дополню отзыв, доставили на три дня раньше обещанного срока."
"Телефон жақсы, доставка уақытынан бұрын келді, көп рахмет.",kz,,"телефон жақсы, доставка уақытынан бұрын келді, көп рахмет."
Сапалы өте әдемі ұнады маған.,kz,,сапалы өте әдемі ұнады маған.
Айфон 13 екіншісін алып жатырмын. Пока әзірге жақсы жұмыс жасап тұр. Заказымыз екі күн бұрын келді. Каспиге рахмет!.,kz,,айфон 13 екіншісін алып жатырмын. пока әзірге жақсы жұмыс жасап тұр. заказымыз екі күн бұрын келді. каспиге рахмет!.
Уакытына келди. Көп көп рахмет. Телефон ұнады.,kz,,уакытына келди. көп көп рахмет. телефон ұнады.
"Қатты қысып қыздырғаны ұнады, керемет екен.",kz,,"қатты қысып қыздырғаны ұнады, керемет екен."
"Тауар сапалы, жақсы қапталған. Жеткізу тез болды. Күткенімдей шықты, сатушыға рахмет!",kz,,"тауар сапалы, жақсы қапталған. жеткізу тез болды. күткенімдей шықты, сатушыға рахмет!"
"Унады, жақсы қапталған, рақмет Каспи магазиніне және доставщик жігіттерге. Тура уақытымен жеткізіп береді товарды. Алғысым шексіз, еңбектеріңіз жана берсін.",kz,,"унады, жақсы қапталған, рақмет каспи магазиніне және доставщик жігіттерге. тура уақытымен жеткізіп береді товарды. алғысым шексіз, еңбектеріңіз жана берсін."
"Рахмет, Каспиге. Уақытынан ерте келді, бәрі керемет. Қызыма қатты ұнады!",kz,,"рахмет, каспиге. уақытынан ерте келді, бәрі керемет. қызыма қатты ұнады!"
"Керемет, жақсы, ұнайды, ойдағыдай болды.",kz,,"керемет, жақсы, ұнайды, ойдағыдай болды."
"Товар отличный, пришел вовремя, товар проверенный.",ru,,"товар отличный, пришел вовремя, товар проверенный."
"Жақсы телефон, қызыма алғам қуанып отырмын.",kz,,"жақсы телефон, қызыма алғам қуанып отырмын."
"Жақсы келді, алуға кеңес беремін.",kz,,"жақсы келді, алуға кеңес беремін."
"Первое впечатление очень приятный. Аппарат тактильный, в руках 100 баллов. Все отлично.",ru,,"первое впечатление очень приятный. аппарат тактильный, в руках 100 баллов. все отлично."
Өз уақытында жеткізді. Сапалы. Балама ұнады.,kz,,өз уақытында жеткізді. сапалы. балама ұнады.
Ұнады өте күшті уақытынан ерте келді.,kz,,ұнады өте күшті уақытынан ерте келді.
"Уақытынан ерте келді, жақсы, рахмет.",kz,,"уақытынан ерте келді, жақсы, рахмет."
"Өте керемет, дәл айтылған уақытында келді.",kz,,"өте керемет, дәл айтылған уақытында келді."
Өте керемет ойлағанымнанда күшті болды.,kz,,өте керемет ойлағанымнанда күшті болды.
"Жақсы, рақмет, Каспий магазині, уақытыммен келді",kz,,"жақсы, рақмет, каспий магазині, уақытыммен келді"
Доставкасы айтқан уақытында келді. Өте керемет.,kz,,доставкасы айтқан уақытында келді. өте керемет.
"Балама ұнады, рахмет Каспи! Корыкпай алсаңдар, болат оригина.",kz,,"балама ұнады, рахмет каспи! корыкпай алсаңдар, болат оригина."
"Өте тез әрі жылдам, рақмет Каспи.",kz,,"өте тез әрі жылдам, рақмет каспи."
"Өте керемет, түсі де ойымыздағыдай келді.",kz,,"өте керемет, түсі де ойымыздағыдай келді."
"Алған затымыз ерте келді. Рахмет сіздерге, балам қуанып қалды.",kz,,"алған затымыз ерте келді. рахмет сіздерге, балам қуанып қалды."
"Әдемі, рахмет, уақытылы жеткізіп берді, бәрі өз ойлағанымдай.",kz,,"әдемі, рахмет, уақытылы жеткізіп берді, бәрі өз ойлағанымдай."
"Спасибо большое, всё работает отлично.",ru,,"спасибо большое, всё работает отлично."
"Керемет! Ұлыма қатты ұнады, көңілімізден шықты. Бірақ доставка постоматқа кешігіп келді сол минус біраз күтуге тура келді Prime Gadget дүкеніне үлкен рахмет! Еңбектеріңіз жемісті болсын!.",kz,,"керемет! ұлыма қатты ұнады, көңілімізден шықты. бірақ доставка постоматқа кешігіп келді сол минус біраз күтуге тура келді prime gadget дүкеніне үлкен рахмет! еңбектеріңіз жемісті болсын!."
"Отличный телефон. Реакцию внука не описать словами, это надо было видеть. Спасибо.",ru,,"отличный телефон. реакцию внука не описать словами, это надо было видеть. спасибо."
"Жақсы сыйлыққа алған болатынын, ұнады, оригинал Sulpak.",kz,,"жақсы сыйлыққа алған болатынын, ұнады, оригинал sulpak."
Очень довольны покупкой! Спасибо Каспи и Сулпак!,ru,,очень довольны покупкой! спасибо каспи и сулпак!
Телефонды балама сыйлыққа алып берген едім. Қуанып қалды. Уақытында жеткізіп берді.,kz,,телефонды балама сыйлыққа алып берген едім. қуанып қалды. уақытында жеткізіп берді.
"Балама сыйлықка алғам, ұлыма ұнады. Каспиге рахмет, уақытынан ерте келді.",kz,,"балама сыйлықка алғам, ұлыма ұнады. каспиге рахмет, уақытынан ерте келді."
"Купил дочке на день рождения, она очень обрадовалась. Доставили раньше времени, всё классно. Доставили аккуратно, телефон супер.",ru,,"купил дочке на день рождения, она очень обрадовалась. доставили раньше времени, всё классно. доставили аккуратно, телефон супер."
Телефон жақсы сыйлыққа алғам иесіне ұнады рахмет и жеткізуі де уақытылы болды.,kz,,телефон жақсы сыйлыққа алғам иесіне ұнады рахмет и жеткізуі де уақытылы болды.
Айфон жақсы 1 күнге ерте келді. Қызыма ұнады рахмет.,kz,,айфон жақсы 1 күнге ерте келді. қызыма ұнады рахмет.
"Маған өте қатты ұнады, сапасы өте жақсы, алыңыздар өкінбейсіздер.",kz,,"маған өте қатты ұнады, сапасы өте жақсы, алыңыздар өкінбейсіздер."
Смартфонға ұлым риза. Дүкен қызметкері мен жеткізу қызметіне көңілім толды. Бәрі тамаша!.,kz,,смартфонға ұлым риза. дүкен қызметкері мен жеткізу қызметіне көңілім толды. бәрі тамаша!.
Күшті падаркыға алғанбыз. Ұнады рахмет сіздерге.,kz,,күшті падаркыға алғанбыз. ұнады рахмет сіздерге.
"Телефон өте жақсы, қызыма сыйлыққа ап бердім. Қуаныштымыз. Рахмет Каспи дүкенге.",kz,,"телефон өте жақсы, қызыма сыйлыққа ап бердім. қуаныштымыз. рахмет каспи дүкенге."
"Ұлыма алғанмын, оған ұнады. Пока хорошо работает.",mixed,,"ұлыма алғанмын, оған ұнады. пока хорошо работает."
"Жолдасыма подаркаға алдым, супер. Доставка 07. 05 деді, бірақ 05. 05і келді өте ризамын, көп рақмет.",mixed,,"жолдасыма подаркаға алдым, супер. доставка 07. 05 деді, бірақ 05. 05і келді өте ризамын, көп рақмет."
"Взяла для сына, ему понравилось, спасибо.",ru,,"взяла для сына, ему понравилось, спасибо."
"Өте жақсы гарантиясымен келді. Уақытында келді, оригинал. Рахмет.",kz,,"өте жақсы гарантиясымен келді. уақытында келді, оригинал. рахмет."
"Керемет дүкен екен, рахмет Alsep.",kz,,"керемет дүкен екен, рахмет alsep."
"Өте жақсы сапасы, бағасына тұрарлық.",kz,,"өте жақсы сапасы, бағасына тұрарлық."
"Товар белгіленген уақыттан бұрын, жақсы қалпында келді, ұнады.",kz,,"товар белгіленген уақыттан бұрын, жақсы қалпында келді, ұнады."
"Быстро доставили, спасибо и качество хорошее.",ru,,"быстро доставили, спасибо и качество хорошее."
"Телефон өте күшті, бізге ұнады.",kz,,"телефон өте күшті, бізге ұнады."
Ішімдегі сезімді айтып жеткізе алмаймын. Маған қатты ұнады качество керемет.,kz,,ішімдегі сезімді айтып жеткізе алмаймын. маған қатты ұнады качество керемет.
Уакытылы алып келді. Установка жасалгансоң пікір жазамын.,mixed,,уакытылы алып келді. установка жасалгансоң пікір жазамын.
"Рақмет, 28 тапсырыс бердім 1 мамыр келеді деген, бірақ 30 келді лезде. Күшті бәрі, балама ұнап жатыр. Адаптор мен телефонды 1 дүкеннен алдық. Бірге келді.",kz,,"рақмет, 28 тапсырыс бердім 1 мамыр келеді деген, бірақ 30 келді лезде. күшті бәрі, балама ұнап жатыр. адаптор мен телефонды 1 дүкеннен алдық. бірге келді."
Айтылған уақыттан ерте келді. Жақсы қапталған. Ашылмаған сырылмаған өте керемет.,kz,,айтылған уақыттан ерте келді. жақсы қапталған. ашылмаған сырылмаған өте керемет.
Әдемі жақсы телефон маға ұнады,kz,,әдемі жақсы телефон маға ұнады
Армандар орындалат егерде мақсатың айқын болса,kz,,армандар орындалат егерде мақсатың айқын болса
Купила  подарок дочке  ей очень понравлась .,ru,,купила подарок дочке ей очень понравлась .
Дочери очень понравилось. Доставили даже раньше срока. Спасибо большое.,ru,,дочери очень понравилось. доставили даже раньше срока. спасибо большое.
