,text,language,label
255324,"Слишком грубый персонал 
Залдарында адам отсада орындарға отыруға болмайды деп клиенттерді бөліп отыр өздерінің таныстарын тыныш залға отырғызып кассада отырған қыз өзім шешем өзім білемін деп даже 1 жұлдыздың өзі жалько 
И официанты тоже ужас",mixed,
255327,"«Осы номерде ватсап бар, ватсапка жаза салыныз» и положила трубку, зачем тогда тут номер стоит?",mixed,
255328,"Тауықтың аяқтарына заказ берсек, арасында қанаттары жүр, ой бләәә. Сервис нашар,",mixed,
255330,Ужасный бургер еще админстратор ужыс уважение нет сервис ужасный екыншы келмеспын,mixed,
255333,"Телефонда отыратын кыз грубая, былжыраааааппп, не стоит вообще",mixed,
255336,"Обслуживание вообще 0,донер алып едік ужасно сасып кеткен,не то что жеу,жай қасында тұру невозможно ",mixed,
255337,Томбик жедык дамды бырак обслуживание ноль акция туралы Быз официантка айту керек екенбыз донер куриный еттын иысы ужас,mixed,
255338,"Ужасно, сасып кеткен етпен әкеліп берді. Обслуживание ноль",mixed,
255340,"Ужас донер заказ бергем с курицей 
Сасып кеткен еты 
Шаурма вообще ужасный сухой вонючий мясо 
Доставка мен заказ бергем",mixed,
255344,Вкус жок соус жок сухой не стоит жеуге,mixed,
255347,бүгін ауыз ашуға бардық . Онша емес. Негзі хотя бы Рамазан айында қара суды тегін қойп қойса стаканға. Бағасы еще қымбат и онша емес . Просто соған лайық қызмет жасаса қара судың өзін у дай ценамен есептейді,mixed,
255349,"ужасно прям
дұрыс жасамайды калай болса солай акшасына не стоит",mixed,
255353,"Лаваштарыныз жейтын лаваш емес оны коя тураин лаваштын ышынен у вас какие то тараканы вышли это даже не таракан будто клоп ,даже на подносах ходит только подностагын я успела заснять на видео а на лаваше нет Жабу керек блу точканы не администратор жок буган жауап беретын не старший",mixed,
255354,Алдына кебабтан лаваш пицца алатын едим балдарыма катты унайтын еди казир алган едим бириншиден колеми лаваштын тым кишкентай екиншиден еттен ашшы дам шыгады пиццада сырды озгерткенсиздема билмедим но дами онша емес болып калган,mixed,
255357,Лаваш ужасно болып келди балалар жегенде жок бир тистеп жутамай калды. Дами ужасно соустанба еттенбе ашшы дам келеди. Еще 1590 тг. 1100 тг алатын лаваштарымыз будан таттигой,mixed,
255359,"Яндекс доставка заказ бергенмин, ишинде 1 позиция жок.
Сырный палочки жок орнына 2 есе арзан туратын фри салп жиберген.",mixed,
255367,"Бургер не очень , унамады , наны калын и не свежий , катты болып турды , но обслуживание жаксы",mixed,
255369,Фигняя не советую Кемей ак койндар лаваштары сасып кеткен,mixed,
255370,"Отзывка карап келген едик, донер стрипцы заказ бердик, дами ужасный не советую, еттери катты, разливной кола китайский бир дам шыгып тур ише алмадык, акшаларынызды куртпай ак койыныздар",mixed,
255990,"Написали бы в сети, что до 23 работаете, экие блаженные (матом нельзя). Нафига я пëрлась, спрашивается?",mixed,
256121,"Цен а на ценнике и на кассе сильно отличается, отказались продавать по цене ценника, персанал конфликтует, повышает голос,",mixed,
256181,Райян плов фигня а так Әмір лучший,mixed,
256182,Офф оте нашар палаулары аиныган бағасы өзін затна сай емес келмеңіздер!!!,mixed,
256184,"Тамактарына әңгіме жок но сервис хромает, дайын тамакты 45 минуттан аса алып шыга алмады, хотя заранее звондап заказ бергем. 15 минутта келе беріңіз дайын деген еді",mixed,
256186,Тамактары онша емес не дұрыс жұмыс жасамайт унамады,mixed,
256193,"Манты шикі 
Обслужв жақсы 
Админ ужас грубо",mixed,
256194,"Здравствуйте ехали из Қызылорды в Алматы. Так торапились попасть этот бесказан, а оказывается обслуживание ноль, уни формы у всех грязные, одна официантка было в белом сланцы очень грязно ужас. Заказали мохито а там мухи ужас вообще, ощущение на нуле",mixed,
256195,"Порожняк ташкент шай дейді ішінде макалка , обслужиаание ноль, элементарно тіс шұқитын жоққо",mixed,
256196,"Вообще обслуживание клиентов ноль . Бокалы ,чашка сұрасаң мақұл деп мүлдем жауапкершілікпен қарамайды . 
Сол қасымыздағы жолдастарымызбен сен іше бер , өзің жей бер деп отырдық . Тазалық жоқ мүлдем .",mixed,
256199,Обслуживание 0 тамак катып калган аш болсамда бул жактан тамак ышпеспын касса да гы кыз вообще сойлесе алмайды адамен,mixed,
256202,"өзі титтай контейнер, аз қылып салып берді. граммен өлшеп саламыз дейді. басқа жерлерде ондай емес қой, обслуживание 0. майы шылқылдап тұр. өте кішкентай бір адам тоймайды",mixed,
256203,"Обслуживание нашар, адам көп болмаса да официанттар әрең келді, аузымызды су мен аштық, стол тазаланбаған. Кухня сәл абыройын ұстап тұрады екен.",mixed,
256204,"Не знаю как мы очень долго ждали офицантку и еду.Кеше алдын ала заказ беріп қойсақта ,өте кеш әкеп берді.Пиццасының тұзы жоқ,Балық күйіп кеткен,ыдыстары мүлде ужасно,ссср кезіндегідей,лапша берсек жей алмадық ,дәмі құсық қа ұқсайд.Бірақ өткен жаздағысынан қарағанда тамақ тәттірек,сосын нормально офицанттар алсаңдарш",mixed,
256205,"Вообще келменыздер обслуживание совсем ноль, грубый совсем официанттарда уважения жок",mixed,
256206,Тамак нашар жегендей болмадым шикі піскен условия жох,mixed,
256209,Обслуживание нашар шашлык суып кекткен дәмі онша емес,mixed,
256211,"Плов кымбат, и не очен",mixed,
256213,"На базаре Барыс столовый лучше готовит, все так не вкусно! Сделал замечание, не довольные! Я же плачу, хотелось бы вкусно покушать. Самый отстойное помещение в городе! Не Ресторан а забегаловка. Не советую!",mixed,
256214,"Тамақтары не свежый екен. Голубцы заказала, әкелді ортасы мұз ғой, отмена істеттім. Кампоттары бар екен ашығанның дәмі шығады. Не советую келуге.",mixed,
256224,"Тамақтарын деп көрмедік. Іші толған шегіртке. Кішкентайымнан қорқамын жәндіктерден. Администратор неге ештеңе істемейді? Я в положении, чуть не упала в обморок. Қорқып, жылап шығып кеттім. Еще официантарына бәрібір, ешқайсысы кешірім сұрауды білмейді. Что за сервис вообще? Вообще не советую. Үлкен үлкен шегірткелермен отырып тамақ ішемін десеңіздер бара береңіздер",mixed,
256225,Везде шегиртке ужас прям слишком много их. Тазаламайды айтсак ия билемиз дейди без слов,mixed,
256227,"Ужасное место, администратор грубая (властительница вселенной). Везде мухи летают. Еда грязная, повара и официанты без перчаток. В зале кричат. Официантов еле найдешь. Никому не рекомендую. Енди аяк баспаспын!",mixed,
256237,"Обслуживание өте төмен заказ берсең әйтеуір бір нарсесі келмей калады ақшаны за ранее алуды біледі содан акейін анау мынпу жок тұрады кешірім сұрап, лучше ештеңе алмаңдар даже телефондарына жауап беру киын уже 3 рет кайталанды жай айтып койып жүрмін сабак алатын шыгар деп онан сайын кері кетіп бара жатыр",mixed,
256238,Обслуживание туралау керек! Сервис баяағыдай болмай калған!,mixed,
256239,Обслуживание нашар самса суық ауыз ашқанға құрма да жоқ ұнамады крч шаршап қапты кафе,mixed,
256241,Просто ужас администратор заказ принимали говорят через полчаса пришел говорит самса законичлось патом на предложили плов мы заказали плов через 10 минут говорят плов тоже закончилось я думаю здесь нет вина официанты походу администратор передали своему клиенту я не злюсь что осталось голодным просто время теряли,mixed,
256248,Өте нашар обслуж 0% чайлары 1сагатта келеді еще қайнамаған,mixed,
256249,"Самсасы жаксы бирак обслуживание 0, келгенде омири шай акелулери жыр шайды жарты сагатта акелип ещё кайнамаган шай акеп берди каз каз деп журе береди кыздары",mixed,
256255,Обслуживание ноль минус 10. Оте нашар адаммен сойлесуды билмейди мулде,mixed,
256256,"Тамактары самса керемет, бирак багасы кымбат как ресторан заранее звондап беремын телефон алмайды вообще",mixed,
256266,"Тамақтары нормально, прям кушти дей алмаймын. Самое ужасное 20 минут кутетин тамакты 45 минут куттик, хотя залда адам болган жок бизден баска.Обслуживание ужас и админ тоже некомпетентный.",mixed,
256269,"Администратор этикеттен жұрдай ,өте грубый, клиентпен қалай сөйлесу керек екенін білмейді, баруға кеңес бермеймін.",mixed,
256271,Не советую бордак тартип жок шашлигинен кан агып келди ,mixed,
256277,"Кызмет көрсетү өте нашар, шашлыктері ужас, админстратор өте дөрекі, бағалары өте қымбат",mixed,
256279,"Ен нашар жер
Самый худший место
Персонал сойлесу билмейды
Если хотите нормально провести время то не советую",mixed,
256280,Адам баратын жер емес персонал солесу вообще билмиды желательно жоламаган дурыс,mixed,
256281,"Самый конч*нный место
Персонал басы с*кпи калган оранып алсада бастары истемит вообще келетин жер емес",mixed,
256288,"Кафе бәрі жақсы,Администраторларыңыз өте грубая,ауыстырасыздар ау",mixed,
256312,"Сәресіне 2 порция палау заказ бердік. Тұз қосылмаған тамақ, еті піспеген, бекерге ақша мен уақытқа шығындалдық! Өздеріне жазып едік, “мы разберемся”! Разберитесь, может это не ваше, готовить блюда и продавать. Позорище одним словом!",mixed,
256326,"Барып алып келдык иысын айта алмайм ужас, хотя майды ауыстырса болады гой((( 
40 градус ыстыкта вообще енды((
Алдын барып отырганда жаксы еды, Отырып жесен жаксы майга куырама былмедым.",mixed,
256327,Оператор оте жауапсыз калганы кушты,mixed,
256328,Телефонмен дұрыс сойлеспейді поху қарайды адаммен сойлесуді білмейді,mixed,
256329,"Сервис ноль,1 сағат күтіп заказ бергенімді шатастырып жіберіпті , бұл екінші рет болып тұр",mixed,
256330,Ужасно кішірейіп кеткен вобщее ақшасына не стойт,mixed,
256336,"Тапсырыс кешігіп келді, түгел келген жоқ.
Өте нашар, обслуживание 0.Жауапкершіліктері жоқ!",mixed,
256338,"Чикен алуға не советую , қалған құтқан майға қуырып бере салады",mixed,
256341,5 фарш 1 кусковой бергенбыз балама 5 кусковой 1 фарш устатып жыберген еще кышкен тай пияз айнып кеткен оданда Таскен холлдын шашлыгы жаксы,mixed,
256342,"Лаваштан шаш шыкты,не стоит,вилка ложкалары таза емес откан кезде пиязды иісі шығып кетеді жағымсыз",mixed,
256347,КЕЛМЕҢДЕР БҰЛ ЖЕРГЕ ОБСЛУЖИВАНИЕ НОЛЬ ПОРЦИЯЛАРЫ КІШКЕНТАЙ ШАШЛЫКТАРЫ ПОРОЖНЯК ЕТІ ҚАТТЫ,mixed,
256352,Вообще не советую ужас шашлыктері цемент Цезарь салат бергенбіз полный тарелка помидоры дамі ужас.Вообще не советую жоламандар акшасын 1% тте не стоит Шашлыктарының қаны шығып тұрАлла кешірсін жұмыстарын,mixed,
256353,Сервис жақсы. Кеше барып пицца жегенмін отравилась всю ночь не спала. Вообще сіңген жоқ тамақ. Ужасная еда. Все еще аяққа тұра алмай жатырмын.,mixed,
256355,"Шашлык оте нашар, иши писпеген, еще катты",mixed,
256357,Оценка 2 обслуживания нашар 2-3 рет заказ алды бізден кейін келген адамдар тамактанып турып кетті кафе емес базарский тамак и обслуживания,mixed,
256358,"Плов заказ бердык доставкадан адрес дурыс белгылемеген платный ожид багасы осип озымыз төлеп, доставшикпен озымыз сойлесип адресты жберип алдык звондасак жауап бермиды жауапкершілік жоқ, тамактары нормально ",mixed,
256361,"Мұздай плов, мұздай қазы, короче ұнамады !!!",mixed,
256368,"Официант Камила дұрыс қызмет көрсетуді білмейді,офик бір бала бар тоже бөрекі сөйлейді ,обращается на ты, а не вы) сенсіреп тұр. Қонаққа адам сіз деп сөйлеу керек емес па) Админстратор Аруна мүлдем ужасная ,дөрекі проблеманы шешуге тырыспады.",mixed,
256372,Шашлык жаксы дайындалмаган. Салаттары тоже не очен 2 рет бардым мулдем унамады. Лифт жумыс жасамайды 2этажга,mixed,
256381,Тамактары уудай кымбат кешіктіріп акелед ещё суытып акелед 10/0,mixed,
256383,"Обслуживание 0. Тамактары дәмді, но официанттардың жұмысы өте нашар. Барып отқаннан кейін 15минуттан сон заказ алуға келді (онда да өзіміз шақырып алдық) , одан 1 сағаттан сон тамақ келді, тамақ суып қалған, бауырсақты әкелуді ұмытып кетті.Официанттарды шақырайын десең біреуі жоқ (іздеп барсан тел қарап отқан болады) Бар уақытымыз күтумен өтті.",mixed,
256385,"Бұл ресторанға жақсы көңіл күймен келіп отырған едік, официант келіп ескерту айтып көңіл күйді түсірді, общий зал болған соң шу болғанын үшін біз ғана шулап отырғандай, официанттар өте баяу жұмыс жасайды,",mixed,
256390,"Обслуживание өте нашар, берген заказдар уакытылы келмейді, официанттары аң таң болып жүреді не істеп жүргендерін білмейді. Өте нашар! Не советую!!!",mixed,
256391, обслуживания 0/10 тамактв 1 сагат кутесын офицанттар бр бырыне прикол устап ойнап жур ,mixed,
256392,"Өте нашар қызмет көрсетті,1 сағатта 2 порция плов келмеді",mixed,
256397,"Подругаммен келгенмін меню беріп жоқ болып кетті.1 даяшы келіп заказ алмады 
шақырсаң қарамайды
обслуживание 0",mixed,
256406,"Обслуживание на хорошом уровне, персонал хороший, к ним претензий нет. Единственная ложка дегтя это то что нет пауэрбанков или других приспособлений. Хотя в соседнем Жеті Тандыр, все предусмотрено. Ни Надеюсь этот отзыв прочитают руководство и решат проблему, на этом все",mixed,
256411,"Увы и ах 
Так хотели вкусного шашлыка в нашем любим Камшат принесли холодный шашлык  что там шашлык, лук  не свежий так меня еще не удивляли маскара  Пияз Кешеги болган сон енди ангиме жок, 1000 ойланып келу керек обслуживание 0 ноль
Прошу принять меры",mixed,
256416,"сактар сорпасында магазин жаймасы100%
рибай конина стейк тым кеш келды еты калын мариновка сіңбеген катты дәмсіз кішкентай гана",mixed,
256418,Сонгы кезде нашарлап бара жатсындар! Контроль жок!,mixed,
256433,"На всю громкость включили песню с беспредельным матом. Ужас!!! В первый раз такое вижу. Администраторам просто фиолетово. Акымактар, адамдар отбасымен, бала-шагамен отыргой. Не деген томен IQ сендерде.",mixed,
256438,Ұнамады. Бауырсағы мүлдем суып қалған 7 шт кішкентай ғана. Официант ескерту керек еді бауырсақ свежий емес деп. Сервистеріде нашар. Официанттар ұзақ обслужив етеді,mixed,
256467,Курыдак тузы енд айта алмай оте коп жи алмайсын собой алып кеткен болатынмын окинип кеттим,mixed,
256469,Ватсапта жауап бермеиди и калай сойлесилерин билмеиди,mixed,
256475,"Сабой заказ берген едім пельмени с бульоном и шашлык люля екеуіде ұнамады 
Шашлык туриде дамиде жок",mixed,
256494,Тамақтары өте дәмдіобслуживание керемет. ,mixed,
256503,Обслуживаниесі ужасный. Кеше жабылып жатырмыз деп қуып шықтығой. Шашлыктары да ашыыы. Не советую. Ужас,mixed,
256504,"Повар ауыскан ба хрустящий баклажан өте нашарлап кеткен,шашлыктары да кішірейіп кеткен ,негізі өте жақсы кафе еді сонғы кездері өте нашар боп кетті.",mixed,
256506,Жаксы жертв супер офик улжалгас молодец,mixed,
256507,Телефонды занять басатын болсаңдар не үшін қойғансыңдар заказ қалай береміз 1сағат болды отказ басып отқанына өте нашар екен обслуживание ,mixed,
256513,протсо ужас не мынау хрустящий баклажан салатка заказ бердык салып берген ыдыстары мынау баклажаны пыспеген ортасы вообще ортасы шикі  плов порциясы азз не советую,mixed,
256518,"Өте ұзақ күттік заказды, обслуживание нашар",mixed,
256519,"Тамактары суып калган , дамссііззз , вообще ұнамады",mixed,
256521,Тамактары нашар еттеры катты обслуживание 0 дамсыз тамактары,mixed,
256525,Өте нашар сервис пловтары дәмсіз ыстық тамақ емес бір күн бұрынғы тамақты ысытып беріп тұр,mixed,
256540,"Өте нашар кухня , не советую бәріңізге .",mixed,
256541,"Кухнясы нашарлап кеткен. Боул заказала, курица обычная непонятная, рис разваренный, зелень сверху солып калган, бетинде не соус жок(((( дурыстап жей алмадым. Квашеная Капуста, перец  косып тастаган. Мулдем унамады(((",mixed,
256545,Оттте жаман жауап кершылык 0,mixed,
256546,Можно же нормально положить 2500 а ложете 3 лошки уйат каторый раз . Сал адал жасасандаршы,mixed,
256551,баска Каусарларда тамак дамди тек осы точка слабый,mixed,
256558,"Каусар халял мекен дегенмен сотрудниктері ужас, аты халял болғанын қайтесің тамақтың киесі жасап жатқан адамға байланысты, Арррам тамақ, Алладан қорықпайтындар, рамазан айы келе жатыр Аллаға тапсырдым осы жердің сотрудниктерін, 10еселеп қайтсын обслуживаниелерің, құрметтерің өздеріңе Тауып жатқан ақшаларың берекесін таппайды отвечаю Харррам, не стоить мын жақтан тамақтануға даже ауурасы нашар жер",mixed,
256559,"Просто каусар деген аты болмаса, басқа филалдарға зиянын тигізетін сияқты. Плов деген ташкентский емес",mixed,
256560,"Бағалары башенный, не стоит вообще, болды бармаймын, Жеті Тандыр дұрыс екен ... еххх",mixed,
256567,Суши жеу мүмкін емес ужас балық екірген қасындаға имбир ескіріп кеткен тузы көп қателеспеңіздер,mixed,
256569,Ваше бағалары екі турлы ваше клиентпен сөйлесуді білмид қалай қалай жұмыс істиді ваше клиентпен сөйлесе білмид өтте нашар ,mixed,
256570,Ешкымге кенес бермеймын бул жерды! Тамакты куйдырып жандырып пысырып еще мен шеф повормын деп турад пазор! Повор болмасакта тамактын калай пісуін былемыз негызы!,mixed,
256571,Обслуживание 0 екен тамактары да нашар акшасына не стойт аз порциясы келудин кажети жок екен стейк из семги 5250 ал келген тури мынау,mixed,
256572,Тамактары да кофеси де оте томен дарежеде жасалды кще узак куттик. Хотя клиенттер аз ондай катты клиент коп те емес. Бурын оте дамды болушы еди казыр нашар болып кетипты.,mixed,
256574,Тамактын порциясы аззз.Хрустящий бакладан салат совсем дами жок соус сезилмейды.Шашлык вообще.Баягы Каусар жок.,mixed,
256579,"Оте суык, 2 этаж да отопление жок(( все сидят в куртке. Вай фай жок. Сурасам ол конактарга арналмаган дейды. Сонда кымге арналган???? 
Админ шакыртып едим даже келген де жок , кымге не жазып жатырмыз не понятно! Отзывы окып кышкене жонделу керек кой. Конактарга деген отношение оте томен ",mixed,
256580,"Заказ беріп едім картофель по-домашнему блин қалай салып жіберген ұялмай,картоп піспеген еті сасып тұр ",mixed,
256585,"Кафе мүлдем ұнамады,тамақтарының дәмі біртүрлі,официанты хорошие,но кухня прям нашар",mixed,
256589,Бүгін Каусарға тамақтануға келдік шашлыктары күйіп кеткен еще бізді алдап өтірік айтып шашлыктың күйген жерін қырып әкеп берді обидно просто.Көңіліміз қалды,mixed,
256591,Обслуживание 0.26октябрь кешке бардық 2этажында отырдық қонақтарымды ужинге апарған едім официантқа қасық акел вилка пиала акел деумен болдым заказ еткен тамақты заказ еткен жоқсыз сіз олай деп тұр бір уакытта келіп.жұмысына пысық қыз алған дұрыс сияқты телефон шұқып көп соилеитін емес...,mixed,
256593,"Блин полный ужастамактары слишком дамсиз. Баска каусармен салыстыруга келмейды, как попало. Фри туз жок нан сиякты, цомян чилимен чеснок барынша коскан дамы прям ужас, фрикадельки турып калган. Енбектеринизди адалынан жасасаныздаршы, вообще уят",mixed,
256595,Быр туйыр етты жок как вермишель сиактты болып тур заказ бермей ак койындар,mixed,
256596,"ДОСТАВКА!!! 20 минут просто заказды қабылдауға кетті! Ия, мүмкін адам көп болған шығар. Сосын ҚАСЫҚ, ВИЛКА дым жоқ тамаққа қосып беретін!!! 360тг одноразовая посуда деп алғанын қайтейін! ҰЯТ ЕМЕС ПЕ?
Сұраған адамға ғана салады қасықты дейді, СҰРАҢЫЗДАР доставка заказ берсеңіздер.",mixed,
256598,"2/3 этажный зданияға кафе болмайды
Заказ бересің акелгенше суып қалады
Сол жері минус
А так кухнясы жақсы",mixed,
256603,"Қызмет көрсетулері жақсы офицанттардың,бірақ кухнясы өте нашар 
Шашлыктері қатты,піспеген,курица в кисло сладком соусе беріп едік,курицасы 4-5 штук 
Хотя баска точкаларында көп қылып салып береді
Хручтящий баклажаны вообще ужас",mixed,
256604,"Каусар мен сіздерге үнемі тапсырыс берем бірақ адрес дұрыс таппайдв, кейде ни салфетка ни ложки вильки нету как понять отрецательно отношусь к вам",mixed,
256612," нашар ыдыстары дурыс жуылмаган, менюдагы тагамдар жок обед уакытында не стоит баруга",mixed,
256619,"Обслуживание ужасссс , бургер заказ бердик 1саг куттик келмеди, фри с мясом не свежие ",mixed,
256620,Официанттар керек емес лучше сама обслуживание жасап коя салындар,mixed,
256623,Обслуживания өте нашар официанттары құлақтары естімейді ойлары аспанда былжырап не істеп жүргенін өзі білмейді повары да былжырақ бір сағат күтіп тұрып кеттім екі адамды күте алмаса неге ол жерде жұмысқа кірген оларға мектепке кіру керек еден жуушы болып,mixed,
256628,Тамақтар нашар екен бiр барған адам қайтып бармайды өте өкінішті бугын қыздармен барған едык ужас салат ешнәрсе уңаған жоқ и 1 литр пепси 1200 ужасна ней кому ней советую баруға,mixed,
256630,Өте нашар заказ 1-2 сағатта келеді жалпы нашар екен,mixed,
256634,Клиентке как попало қарайды екен бірінші рет и соңғы рет келгенім болатын болды подачаның ең маңызды жері ол оформление соны істеуді білмесе қоя салу керек клиент бір салат заказ берседе ол по-любому клиент!,mixed,
256638,"Отравились вся группа, хотели вместе ауызашар сделать. Кассадагылар 10 сағ. күттіріп қояды оплата қабылдамай. Заказды 3 рет шатастырып әкеледі. В конце барлығымыз құысып, отравление болып шықтық. Вообще не советую ең нашар точкасы осы жер сияқты?",mixed,
256640,"Бугин ораза уакытында келдик, адам коп тусинем алдын ала заказ бердик, сондада былжырап дурыс орында тауып бермеген, Каусардын ишиндеги ен нашар завидениесы ужас айтарга созим жок обслуживание ниже нуля",mixed,
256641,"Оте нашар, ноль обслуживание официанттары ай карап журеды, биреуы карамайды. Клиентке хотя бы конил аударуга болатын шыгар,конил куйымнын бытшытын шыгарды ноль ноль тагыда ноль",mixed,
256642,"Фри с курицей заказ берген едік тұзы жок, свежий салат с майонезом тоже тузы жок и често салаттан турып калган дам шығады, обслужкасыда керемет деп айтпас едим, меню калдырып кеткеннен кейін кайтып сурамайд кутип отыра бересин, пицца пеперони алған едик оның ортасы қағазға жабысып алынбай қойды. Жалпы катты унамады",mixed,
256644,"Никому не советую ходить именно в этот Каусар. Особенно на ауызашар. Ждали наш заказ пол часа, хотя был предзаказ. Обслуживание ужасное. Кроме официанта Сундет (Сека), который пытался спасти ситуацию и который действительно молодец.",mixed,
256646,"Обслуживание 0, ужас. Өте нашар сервис. Тармақтары дәмсіз. Нұрсаттағыдай деп ойлап едім, шарашкина контора. Колхозный персонал. Енді келмеспін бұл точкаға",mixed,
256647,Ужас том ям заказ берген едім 2 сағат күттіп отырдым,mixed,
256650,Не советую ужасный обслуживание ауыз ашканга брон жасау не возможно именно 87762232540 осы бала устынден кулып отырады еш кайсы нормально жумыс ыстемейды  Жеты тандырдын персоналы моладцы,mixed,
256651,Ужасный Персонал вообще без ответственный заклад 10К деб алып ещё издательства ыстеп устынен кулып отырады Арам адамдар ораза кезнде халыкты елемей прикол устаб отыр особенно бала бар 87762232540 типа администратор осы Адам менсыбейды,mixed,
256653,"Заказды 40мин соң акелді, официанттар міні дайын, әні дайын деп ары-бері қашып жүрді, соңында біреуі заказ ұрмағанын айтып енді тағы күтуімді сұрады. Не тірлік бул?!",mixed,
256654,Загадок алып кай жерде отыратын таппай 2сағат куттырып нан қайда су қайда деп 2сағатта алдырдық енды келмеспыз деп кетты советую вообще барманыздар именно ауызашар кезде,mixed,
256655,Обслуживание ужас!!!Официанттары айтқан затты 1000 рет қайталасаңда әрең әкеледі.Тамақтары уақытында дайын болмайды.1-тамақты 2 сағатта әрең әкелді,mixed,
256656,Болмайтын кафе офицант келіп заказ алмады 15 минут күттім,mixed,
256659,"Доставка заказ берейік деп,едік ешкім жауап жазбады.Жауапсыз жұмыстарына",mixed,
256660,Өте нашар обслуживание жаксы шыгар но тамактары өте нашар,mixed,
256661,"Нн сумдык осымен екінши марте тамактарында шаш шыгып, карным ашып ауызым ораза еди екінши марте гсымен . По вам сэс плачет",mixed,
256662,"Обслуживание ужасс 0 
Бір сағат қасық күтіп отырдық
Ақгүл телефонын устап алып не обслужка корсетпейды",mixed,
256673,"Тамақ всегда суып келеді, потому что курьерге 2 заказ беріп қояды, ол ана жақа барып келем дегенше суып қалады. Уже второй раз, наверное удалю глово",mixed,
256678,жалко даже одну звезду вам! ни стыда ни совести! адамның ақысына кіру ең ауыр күнә!,mixed,
256681,Не могу пройти регистрацию как курьер. Офис Glovo мынау не қылған бетімен кеткен график? Қалай байланысамыз? Қалай тіркелеміз? Почтаға келген письмо басылмайды. Что делать?,mixed,
256686,Ужасные курьеры .Доставка акеп берген жоқ .,mixed,
256687,"Баганы 2турлы жазады, курьерден сурасан приложение диды,служба поддержкага жазсан курьерден диды
Ужас",mixed,
256694,"Курерлери ужасный дурыстап карамайды 
Коментарияга жазып койган жерди карамай келип боктап кетти
Осы уакытка Дейн ондай курьер кормеппин
Жазылып тур Соны кормей келип боктап кетти 
Устасам устинен жазам",mixed,
256709,"Мен глобомен тамак заказ бердім. Курер кешігіп келді, қаланы жақсы білмиді екен. Грубый отнашения, ерегісіп тұр. Неодекватный водитель",mixed,
256710,Мен тамақ заказ бердім менен ақша шешіп алды брақ заказ қабылдаған жоқ оны кім шешеді ақшаны кім қайтарады не деген сумдық бул жумыстарың дурыс атқармайсыңдарма тездетіп шешіп беріңдер осы вопросты,mixed,
256728,Ужасный  предложения Кобыланды деген оператор вообще адаммен калай сойлесу керек екенин билмиди. Шешип алган акшады кайтармай жатырсындар ауадан акша жасап ,mixed,
256730,"Заказ берсең баска сумма корсетеді, но карточкадан баска сумма аладыЗаказ отмена жасасаң ақшаңа возврат жасамайды, политикасы сондай екен глованың, GLOVO мен корген самый ужасный приложение!",mixed,
256793,"Вообще беспонтовая компания. не ответственные от слово совсем.бригада приходит вообще без инструментов.телефонга жауап беруди билмейди,шакырсан келмейди,бирак акша толеткенди биледи.от жителей Север 60",mixed,
256799,"Не үшін квитанция жіберіп отырсыңдар ұялмай, договор да жоқ.Ещё телефонды алмайды.",mixed,
256803,"Зайбали, гады указываете действующий номер телефона",mixed,
256808,Омирдеги суы жок осылар гана шыгар вообще су жок бар болса кир су осындай заманда позор,mixed,
256810,Ленгер Су адамды шаршатты 6 мкр всегда су жок! Ескерту жок! Лай судын озине зар болдык! Кашан реттеледы екен судың проблемасы? Өкіметтен бөлінген ақшаға жөндемей қалталарын толтыра береді отырып алып! Масқара ғой обедте өшкен су 23:10 болды әлі жоқ,mixed,
256908,"Ужасно тек телефонмен блог тусирип рекламаны олтиреди, барсан турады футболить етип , сервис ноль",mixed,
256909,"Самый ужасный стамотология 
Доктор сымақ Ернур деген ақыл тісті аламын деп нервный клеткаларына закым келип кулагына отип кеткен не советую дымды да билмид",mixed,
256914,"Туда по записи идти бесполезно, все равно во время не принимают. Адамды ары бери ауре кылып. Вроде серьезная клиника с нормальными ценами. Ни грамма уважения к утраченному зря времени клиента. Вместо того, чтобы извиниться, за утраченное мною время, ругаются со мной, как будто я виновата",mixed,
256916,Вообще унамады тунги 22:00 бардым ауырып тур деп еш нарсе истей алмаймыз деди жулуга ерте деп кайтарды,mixed,
256919,фиксированный прайс жок билген багасын айтады оган ундемеген едик ) поликлиникада истейди екен еще адам уксап мактап жиберген едим инимди акымак кылып 18 жаска толмаган балага истемейтин болсаныз клиникадан акша алманыз !,mixed,
